Year,Country,Description,Deaths,ByTeslaCount,ByOtherPartyCount,ByUndeterminedCount,ByInanimateObjectCount,PedestrianInvolvedCount,MotorcycleInvolvedCount,AutoPilotOnCount
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,0,0,1,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,0,1,0,0,0,0,0
2021,USA,"Tesla hits car and car crashes, driver later dies",1,1,0,0,0,0,0,0
2021,USA,"Tesla hits car and car crashes, driver later dies",1,1,0,0,0,0,0,0
2021,USA,"Tesla hits car and car crashes, driver later dies",1,1,0,0,0,0,0,0
2021,USA,"Tesla hits car and car crashes, driver later dies",1,0,1,0,0,0,0,0
2021,USA,"Tesla hits car and car crashes, driver later dies",1,1,0,0,0,0,0,0
2021,USA,"Tesla hits car and car crashes, driver later dies",1,0,0,1,0,1,0,0
2021,USA,"Tesla hits car and car crashes, driver later dies",1,1,0,0,0,0,0,0
2021,USA,"Tesla hits car and car crashes, driver later dies",1,1,0,0,0,0,0,0
2021,USA,"Tesla hits car and car crashes, driver later dies",1,1,0,0,0,0,0,0
2021,USA,"Tesla hits car and car crashes, driver later dies",1,0,0,1,0,0,0,0
2021,USA,"Tesla hits car and car crashes, driver later dies",1,1,0,0,0,0,0,0
2021,USA,"Tesla hits car and car crashes, driver later dies",1,1,0,0,0,0,0,0
2021,USA,"Tesla hits car and car crashes, driver later dies",1,1,0,0,0,0,0,0
2021,USA,"Tesla hits car and car crashes, driver later dies",1,1,0,0,0,0,0,0
2021,USA,"Tesla hits car and car crashes, driver later dies",1,0,0,1,0,0,0,0
2021,USA,"Tesla hits car and car crashes, driver later dies",1,0,1,0,0,0,0,0
2021,China,Tesla crashes with roadsweeper,1,1,0,0,0,0,0,0
2021,China,Tesla crashes with roadsweeper,1,1,0,0,0,0,0,0
2021,China,Tesla crashes with roadsweeper,1,1,0,0,0,0,0,0
2021,China,Tesla crashes with roadsweeper,1,0,1,0,0,0,0,0
2021,China,Tesla crashes with roadsweeper,1,1,0,0,0,0,0,0
2021,China,Tesla crashes with roadsweeper,1,0,0,1,0,1,0,0
2021,China,Tesla crashes with roadsweeper,1,1,0,0,0,0,0,0
2021,China,Tesla crashes with roadsweeper,1,1,0,0,0,0,0,0
2021,China,Tesla crashes with roadsweeper,1,1,0,0,0,0,0,0
2021,China,Tesla crashes with roadsweeper,1,0,0,1,0,0,0,0
2021,China,Tesla crashes with roadsweeper,1,1,0,0,0,0,0,0
2021,China,Tesla crashes with roadsweeper,1,1,0,0,0,0,0,0
2021,China,Tesla crashes with roadsweeper,1,1,0,0,0,0,0,0
2021,China,Tesla crashes with roadsweeper,1,1,0,0,0,0,0,0
2021,China,Tesla crashes with roadsweeper,1,0,0,1,0,0,0,0
2021,China,Tesla crashes with roadsweeper,1,0,1,0,0,0,0,0
2021,USA,"Head-on collision involving a Tesla, other driver dies",1,1,0,0,0,0,0,0
2021,USA,"Head-on collision involving a Tesla, other driver dies",1,1,0,0,0,0,0,0
2021,USA,"Head-on collision involving a Tesla, other driver dies",1,1,0,0,0,0,0,0
2021,USA,"Head-on collision involving a Tesla, other driver dies",1,0,1,0,0,0,0,0
2021,USA,"Head-on collision involving a Tesla, other driver dies",1,1,0,0,0,0,0,0
2021,USA,"Head-on collision involving a Tesla, other driver dies",1,0,0,1,0,1,0,0
2021,USA,"Head-on collision involving a Tesla, other driver dies",1,1,0,0,0,0,0,0
2021,USA,"Head-on collision involving a Tesla, other driver dies",1,1,0,0,0,0,0,0
2021,USA,"Head-on collision involving a Tesla, other driver dies",1,1,0,0,0,0,0,0
2021,USA,"Head-on collision involving a Tesla, other driver dies",1,0,0,1,0,0,0,0
2021,USA,"Head-on collision involving a Tesla, other driver dies",1,1,0,0,0,0,0,0
2021,USA,"Head-on collision involving a Tesla, other driver dies",1,1,0,0,0,0,0,0
2021,USA,"Head-on collision involving a Tesla, other driver dies",1,1,0,0,0,0,0,0
2021,USA,"Head-on collision involving a Tesla, other driver dies",1,1,0,0,0,0,0,0
2021,USA,"Head-on collision involving a Tesla, other driver dies",1,0,0,1,0,0,0,0
2021,USA,"Head-on collision involving a Tesla, other driver dies",1,0,1,0,0,0,0,0
2021,USA,"Car collides with Tesla, both drivers die",2,1,0,0,0,0,0,0
2021,USA,"Car collides with Tesla, both drivers die",2,1,0,0,0,0,0,0
2021,USA,"Car collides with Tesla, both drivers die",2,1,0,0,0,0,0,0
2021,USA,"Car collides with Tesla, both drivers die",2,0,1,0,0,0,0,0
2021,USA,"Car collides with Tesla, both drivers die",2,1,0,0,0,0,0,0
2021,USA,"Car collides with Tesla, both drivers die",2,0,0,1,0,1,0,0
2021,USA,"Car collides with Tesla, both drivers die",2,1,0,0,0,0,0,0
2021,USA,"Car collides with Tesla, both drivers die",2,1,0,0,0,0,0,0
2021,USA,"Car collides with Tesla, both drivers die",2,1,0,0,0,0,0,0
2021,USA,"Car collides with Tesla, both drivers die",2,0,0,1,0,0,0,0
2021,USA,"Car collides with Tesla, both drivers die",2,1,0,0,0,0,0,0
2021,USA,"Car collides with Tesla, both drivers die",2,1,0,0,0,0,0,0
2021,USA,"Car collides with Tesla, both drivers die",2,1,0,0,0,0,0,0
2021,USA,"Car collides with Tesla, both drivers die",2,1,0,0,0,0,0,0
2021,USA,"Car collides with Tesla, both drivers die",2,0,0,1,0,0,0,0
2021,USA,"Car collides with Tesla, both drivers die",2,0,1,0,0,0,0,0
